comparator,term,coef,std_err_hc3,t_stat,p_value,ci_lower_95,ci_upper_95
MeanSD,C(distribution)[T.Right-skewed]:C(Contamination)[T.0.1_upper],0.03137900990099006,0.006353760872092211,4.938651380289885,7.866469969000537e-07,0.018925867425309523,0.0438321523766706
MeanSD,C(distribution)[T.Uniform]:C(Contamination)[T.0.1_upper],0.005819405940593771,0.006019563935046045,0.9667487551237807,0.33366964765959506,-0.005978722574732684,0.017617534455920226
MeanSD,C(CE)[T.15.0]:C(Contamination)[T.0.01_upper],0.0014651815181518472,0.0036946634226098195,0.3965669806850441,0.6916868057290052,-0.005776225725160888,0.008706588761464584
MeanSD,C(CE)[T.20.0]:C(Contamination)[T.0.01_upper],0.0004836633663367275,0.003529884912004745,0.13701958516886553,0.8910153143912498,-0.00643478393076391,0.007402110663437366
MeanSD,C(CE)[T.25.0]:C(Contamination)[T.0.01_upper],0.0006757425742575341,0.003440605111792318,0.19640224678545537,0.8442953378276989,-0.0060677195298798154,0.007419204678394883
MeanSD,C(CE)[T.30.0]:C(Contamination)[T.0.01_upper],0.001351650165016587,0.00391192320049664,0.3455206290463441,0.7297030043807584,-0.006315578418243489,0.009018878748276664
MeanSD,C(CE)[T.15.0]:C(Contamination)[T.0.05_lower],0.002512046204620451,0.003302737014837225,0.760595286071924,0.44689883621484294,-0.003961199394867839,0.00898529180410874
MeanSD,C(CE)[T.20.0]:C(Contamination)[T.0.05_lower],0.0010856435643566927,0.0031147467049200553,0.34854955063980314,0.7274275078570765,-0.005019147798251423,0.007190434926964808
MeanSD,C(CE)[T.25.0]:C(Contamination)[T.0.05_lower],0.0018003300330035727,0.003094489247991315,0.5817858420972692,0.5607109416455509,-0.0042647574436058405,0.007865417509612987
MeanSD,C(CE)[T.30.0]:C(Contamination)[T.0.05_lower],0.0022834983498352173,0.0037184652619576992,0.6140969967359599,0.5391512327282435,-0.005004559641365171,0.009571556341035604
MeanSD,C(CE)[T.15.0]:C(Contamination)[T.0.05_upper],-0.0008900990099008543,0.004768381279814246,-0.18666691224312676,0.8519218002619877,-0.010235954582891787,0.008455756563090078
MeanSD,C(CE)[T.20.0]:C(Contamination)[T.0.05_upper],0.0004391089108913413,0.004552853251760759,0.09644697217542021,0.9231655875744391,-0.008484319489455817,0.009362537311238501
MeanSD,C(CE)[T.25.0]:C(Contamination)[T.0.05_upper],0.0012938943894392398,0.004402072352716411,0.2939284695402177,0.7688125629535648,-0.007334008879224427,0.009921797658102907
MeanSD,C(CE)[T.30.0]:C(Contamination)[T.0.05_upper],0.004303465346534821,0.005114971705122888,0.8413468528525182,0.40015365004499004,-0.00572169497744747,0.014328625670517112
MeanSD,C(CE)[T.15.0]:C(Contamination)[T.0.0_clean],0.0004904290429045796,0.0031682837634968283,0.15479328226689332,0.8769842873512418,-0.005719293026352222,0.006700151112161381
MeanSD,C(CE)[T.20.0]:C(Contamination)[T.0.0_clean],0.0008957095709573241,0.0030648019326210236,0.292256919255892,0.7700901949821742,-0.005111191836728635,0.0069026109786432845
MeanSD,C(CE)[T.25.0]:C(Contamination)[T.0.0_clean],0.0017551155115514356,0.003015166697830802,0.582095680750957,0.5605022343418132,-0.0041545026235815,0.007664733646684371
MeanSD,C(CE)[T.30.0]:C(Contamination)[T.0.0_clean],0.001548844884488572,0.0036500394370293752,0.4243364794296898,0.671320438617915,-0.005605100954239857,0.008702790723217002
MeanSD,C(CE)[T.15.0]:C(Contamination)[T.0.1_lower],0.0020897689768978613,0.0033489622257622483,0.6240049412388384,0.5326243400040485,-0.0044740763711812424,0.008653614324976966
MeanSD,C(CE)[T.20.0]:C(Contamination)[T.0.1_lower],0.0010828382838285453,0.0031508965587432347,0.3436603721007096,0.7311017164109443,-0.00509280549031939,0.00725848205797648
MeanSD,C(CE)[T.25.0]:C(Contamination)[T.0.1_lower],0.0015278877887790815,0.0031387676374124867,0.48677951517259493,0.6264145886696735,-0.004623983736389268,0.007679759313947431
